Lesson Title,Career Cluster ID,Grade IDs,Primary Course ID,Secondary Course IDs,Lesson Summary,Lesson Learning Outcomes,Lesson Educational Standards,Thumbnail Image,Featured Image,Short Description
Business Model Canvas: Value Propositions,"4,14","4,5",23,"4,9",<p>How does a company develop a value proposition for its product or service which allows it to differentiate itself and ultimately succeed in the market?</p>,"<p>By the end of the lesson, students will be able to:</p><ul><li>define what a value proposition is</li><li>recognize the value proposition for a variety of products or services</li><li>assess what customer problem or job a product or service is seeking to solve</li><li>recognize elements that can contribute to customer value creation such as newness, performance, customization, design, price, brand, cost/risk reduction, accessibility and convenience / usability.</li><li>create a value proposition statement for their own business idea</li></ul><p><br></p><p><a href=""https://www.youtube.com/watch?v=ReM1uqmVfP0"" target=""_blank"">Lesson topic resource 1</a></p><p><a href=""https://www.lean-labs.com/blog/25-companies-who-absoluteluy-nailed-their-unique-value-proposition"" target=""_blank"">Lesson topic resource 2</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-creating-value-proposition/"" target=""_blank"">Lesson topic resource 3</a></p><p><a href=""https://www.quicksprout.com/2014/12/03/how-to-write-a-great-value-proposition/?display=wide"" target=""_blank"">Lesson topic resource 4</a></p>",,value-propositions.jpeg,value-propositions.jpeg,Overview of value propositions
Business Model Canvas: Value Propositions Case Study for 1 company,4,5,23,,<p>How does a company develop a value proposition for its product or service which allows it to differentiate itself and ultimately succeed in the market?</p>,"<p>By the end of the lesson, students will be able to:</p><ul><li>define what a value proposition is</li><li>recognize the value proposition for a variety of products or services</li><li>assess what customer problem or job a product or service is seeking to solve</li><li>recognize elements that can contribute to customer value creation such as newness, performance, customization, design, price, brand, cost/risk reduction, accessibility and convenience / usability.</li><li>create a value proposition statement for their own business idea</li></ul><p><br></p><p><a href=""https://www.youtube.com/watch?v=ReM1uqmVfP0"" target=""_blank"">Lesson topic resource 1</a></p><p><a href=""https://www.lean-labs.com/blog/25-companies-who-absoluteluy-nailed-their-unique-value-proposition"" target=""_blank"">Lesson topic resource 2</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-creating-value-proposition/"" target=""_blank"">Lesson topic resource 3</a></p><p><a href=""https://www.quicksprout.com/2014/12/03/how-to-write-a-great-value-proposition/?display=wide"" target=""_blank"">Lesson topic resource 4</a></p><p>&nbsp;</p><p><strong>Student Prework Form </strong>Link:&nbsp;<a href=""https://docs.google.com/forms/d/e/1FAIpQLSerGZJc4RvvuO8ZGwYCTENCGVBg0r6TyMPR1t4536ihMjjULg/viewform"" target=""_blank"">https://docs.google.com/forms/d/e/1FAIpQLSerGZJc4RvvuO8ZGwYCTENCGVBg0r6TyMPR1t4536ihMjjULg/viewform</a></p><p>Editable Form Link where you and the teacher can edit questions and view responses:&nbsp;<a href=""https://docs.google.com/forms/d/1dp0MdFhwHimA-C_WkDIHjB6pd-HZ5sipERje-ejLZM0/edit"" target=""_blank"">https://docs.google.com/forms/d/1dp0MdFhwHimA-C_WkDIHjB6pd-HZ5sipERje-ejLZM0/edit</a></p>",,business-case-study.jpeg,business-case-study.jpeg,How does a company develop a value proposition for its product or service which allows it to differentiate itself and ultimately succeed in the market?
Buying a home,,,56,,"<p>When should I consider buying rather than renting a property and how to I go about finding, financing and closing the purchase of a property?</p>","<p>By the end of this lesson, students will</p><ul><li>understand what a realtorÕs role is and what are the best methods to find and narrow down a list of properties that interest you</li><li>be aware of all of the expenses involved in purchasing a house including how mortgage financing works</li><li>be knowledgeable of the pros and cons of purchasing a house and have tools to enable you to make the Òbuy vs rentÓ decision</li></ul>",,buying-home.jpeg,buying-home.jpeg,"When should I consider buying rather than renting a property and how to I go about finding, financing and closing the purchase of a property?"
"Cancer Disease: overview of causes, types  and progression",,"4,5",30,,,"<p>By the end of this lesson, students will:</p><ul><li>understand what are the causes of cancer</li><li>know what are the different major types of cancer</li><li>be aware of&nbsp;the scale of cancer disease in the world today</li></ul>",,cancer-disease.jpeg,cancer-disease.jpeg,What are the causes of cancer and what are the major different types of cancer?
Cancer: its treatment and prevention,,"4,5",30,,,"<p>By the end of this lesson, students will:</p><ul><li>understand what are the different ways cancer is treated</li><li>recognize how treatment of cancer has changed in the last century</li><li>be aware of&nbsp;recent and potential breakthrough treatments of cancer</li></ul>",,cancer-treatment-prevention.jpg,cancer-treatment-prevention.jpg,"What are the ways cancer is treated, both now, in the past and potentially in the future."
Career Exploration: one company focus,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","4,5",10,,<p>Research an organization which serves many people in your city or local area (example: Metro Council Environmental Services (MCES) serves most people living in the metro area through its operation and maintenance of wastewater collection and treatment.) and determine what occupations they have that fit into the Career Fields of the Minnesota Career Information System (MCIS). What are the differing occupations within the organization? Where do they fit into the Career Fields of MCIS? What are the working conditions of those occupations within the organization? What are the wages of each? What are the requisite educational qualifications for the occupations? What is the Minnesota employment outlook for each?</p>,"<p>Through this lesson, students will:</p><ul><li class=""ql-indent-1"">become familiar with researching a local organization or business (what they do and how they serve others)</li><li class=""ql-indent-1"">become familiar with how MCIS groups Career Fields and how these are broken down further into clusters and pathways.</li><li class=""ql-indent-1"">understand how a local organizationsÕs occupations fit into the Career Fields.</li><li class=""ql-indent-1"">learn specific information on various occupational requirements, wages, and Minnesota employment outlook.</li><li class=""ql-indent-1"">choose an occupation within the organization which best fits his/her career profile (previously determined).</li></ul>",,career-exploration.jpg,career-exploration.jpg,Research an organization which serves many people in the Twin Cities seven-county metro area (example: Metro Council Environmental Services (MCES) serves most people living in the metro area through its operation and maintenance of wastewater collection and treatment.) and determine what occupations they have that fit into the Career Fields of the Minnesota Career Information System (MCIS). What are the differing occupations within the organization? Where do they fit into the Career Fields of MCIS? What are the working conditions of those occupations within the organization? What are the wages of each? What are the requisite educational qualifications for the occupations? What is the Minnesota employment outlook for each?
Career pathway exploration: single industry,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","3,4,5",10,,<p>What are the differing types of jobs within a specific profession or industry? What is the day to day work like in that career? What are the growth prospect and salaries in that industry? What are the qualifications needed to work in that field?</p>,"<p>By the end of this lesson, student will know:</p><ul><li>the different types of careers in this industry</li><li>what are current growth prospects and wage levels in this industry</li><li>what the nature of the daily work is like for some of the different careers paths in this field</li><li>why the guest instructor enjoys working in this profession</li><li>what are the post secondary training pathways into this career field (direct to work, apprenticeship, 2 year or 4 year college options) and what are licensing/qualification requirement</li></ul>",,career-pathway.jpeg,career-pathway.jpeg,What are the differing types of jobs within a specific profession or industry? What is the day to day work like in that career? What are the growth prospect and salaries in that industry? What are the qualifications needed to work in that field?
Career Round Tables,,"4,5",9,"4,7,8,10,11,15,19,20,21,22,23,24,26,28,29,30,32,34,35,37,38,39,41,42,45,46,50,54",<p>Career Round Tables provide opportunities for our students to be introduced to STEAM career professionals with the intention of developing student Science Capital and building 21st Century Skills.</p>,"<p><strong><u>Lesson:</u></strong></p><p>The career round table is a professional academic discussion between professionals and students with the goal of increasing an understanding of the utility and broad application of science qualifications, knowledge and skills used in science (e.g.that these can lead to a wide range of jobs). These professionals will represent a variety of professions from different STEAM fields to give students access to a variety of science professionals. Presenters will share experiences and information about their field to a small group of selected students who have potential interest in said field. Students will receive coaching from teachers on how to participate in an event of this nature and will prepare questions ahead of time to bring to the presentation. Following presentations, the lead teacher will conduct a reflection session to help students process and utilize information gained.</p><p>&nbsp;</p><p><strong><u>Lesson Activities:</u></strong></p><p><a href=""https://docs.google.com/document/d/1H5gqlBiZkpGLLukru80b2LuJP7GGxxTmmghJjcuCliQ/edit?usp=sharing"" target=""_blank""><strong>Career Round Table Coaching </strong></a></p><p><em>Timeline:</em></p><ul><li>1st session Ð introduction, provide template questions, research about company/profession</li><li>2nd session Ð practice Òsmall talkÓ and people skills, develop more specific questions</li><li>3rd session- Organizational Culture</li><li class=""ql-indent-2""><a href=""https://drive.google.com/a/isd286.org/open?id=1BHAKemB46fu11UzKq-vq4fS4JRPj1Opn"" target=""_blank"">What is Culture?</a></li><li class=""ql-indent-2""><a href=""https://www.youtube.com/watch?v=wd1bsxWeM6Q"" target=""_blank"">https://www.youtube.com/watch?v=wd1bsxWeM6Q</a></li><li>4rd session Ð Role play the interaction with the presenter</li><li>5th session Ð Presentation by professional</li><li>6th session Ð Reflection day</li></ul><p>&nbsp;</p><p><a href=""https://docs.google.com/document/d/1qelz2DTwaBypA357AKuRoJUVLHiJ57mbAiSbrhZU2Ag/edit?usp=sharing"" target=""_blank"">Science dimensions overview</a></p>",,career-round-tables.jpeg,career-round-tables.jpeg,Career Round Tables provide opportunities for our students to be introduced to STEAM career professionals with the intention of developing student Science Capital and building 21st Century Skills.
Chemical Elements: how their presence affects a substance,,"3,4,5",11,20,<p>What impacts does the presence of different types of elements in a substance have upon that substance? How do we identify the presence of certain elements in a substance and how do we add or remove elements from a substance.</p>,"<p>By the end of this lesson, students will:</p><p><br></p><ul><li>understand how the presence, addition or removal of different elements impacts a substance such as water, soil, oil or any substance where the presence of certain elements can enhance or damage a substanceÕs properties (ie flouride or iron or calcium in water)</li><li>have seen examples of techniques to identify the presence of differing elements in a substance</li><li>know some techniques used to add or remove an element from a substance</li></ul><p><br></p><p>This lesson would be valuable to teach as a culminating lesson to a class which had been introduced to the Periodic Table and the elements within it. The objective is for students to understand the impact different elements have upon our daily lives and the environment around us.</p><p><br></p><p><strong>Soil &amp; Agriculture</strong></p><p>If you would like to approach this lesson from the perspective of elements in soil, the MN Dept. of Agriculture has great resources and a detailed lesson plan available <a href=""https://minnesota.agclassroom.org/matrix/lessonplan.cfm?lpid=234&amp;author_state=0&amp;search_term_lp=elements"" target=""_blank"">here</a>. The lesson was written by the Nutrients for Life Foundation.</p>",<p><strong>Grade: 7</strong></p><p><strong>Strand:</strong>2. Physical Science</p><p><strong>Substrand: </strong>1. Matter&nbsp;</p><p><strong>Standard&nbsp;&nbsp;</strong>ÒUnderstand that É1. The idea that matter is made up of atoms and molecules provides the basis for understanding the properties of matter.&nbsp;</p><p><strong>Code: </strong>7.2.1.1.1</p><p><strong>Benchmark: </strong>Recognize that all substances are composed of one or more of approximately one hundred elements and that the periodic table organizes the elements into groups with similar properties.</p>,chemical-elements.jpeg,chemical-elements.jpeg,What impacts does the presence of different types of elements in a substance have upon that substance? How do we identify the presence of certain elements in a substance and how do we add or remove elements from a substance.
Child Development: Different Types of Development,"5,8,10","4,5",30,"8,10,12,29,30,47,53","<p>This lesson would explore the physical, emotional and intellectual development in children and how to assess for different ages.</p>","<p>By the end of this lesson, students will be able to answer the following questions:</p><ul><li>Define physical, emotional and intellectual development.</li><li>Provide examples of each type of development at different age stages (infant, toddler, preschool, etc)</li><li>Describe different ways to assess development in children.</li></ul>",,child-development.jpeg,child-development.jpeg,"This lesson would explore the physical, emotional and intellectual development in children and how to assess for different ages."
Civil Engineer,"2,4","4,5",10,21,"<p>What does a Civil Engineer do? What is it like to be one?Lesson designed by David Kitzman, Minnetonka High School</p>","<p>In my Project Lead the Way (PLTW) Introduction to Engineering Design (IED) class, we spend several days exploring the various engineering career strands comparing what they do, the educational requirements, schools, certifications, skills needed, government vs. private employment etc. After my visit with Kimley-Horn, I decided it would be a good idea to bring in an actual Civil Engineer who would talk with my students and hopefully dispel some of the stereotypes young people sometimes develop.</p><p><br></p><p>Upon having a chance to meet with the Industry guest speaker, my students will be able to:</p><ul><li class=""ql-indent-1"">describe what a Civil Engineer does.</li><li class=""ql-indent-1"">list what the educational requirements to become a Civil Engineer are.</li><li class=""ql-indent-1"">list which schools they should be looking at for having the best opportunities in the field.</li><li class=""ql-indent-1"">better understand what certifications they should obtain to be most successful in this field and list which ones fit their interests.</li><li class=""ql-indent-1"">describe how they can obtain the certifications identified above and incorporate this into their career path.</li><li class=""ql-indent-1"">explain the tradeoffs between choosing to work in the government vs. the private side.</li><li class=""ql-indent-1"">most importantly say they met and talked with a Òreal liveÓ Civil Engineer and developed a more realistic version of who they are vs. what they maybe thought.</li></ul>",<p>ITEEA Standard 20: Construction Technologies: Infrastructure; Construction Processes and Procedures</p>,civil-engineer.jpeg,civil-engineer.jpeg,What does a Civil Engineer do? What is it like to be one? 
Civil Engineering Overview,"2,15","3,4,5",35,"15,21,50",<p>What is civil engineering is and what kind of infrastructure projects do civil engineers work on?</p>,"<p>By the end of this lesson, students will:</p><ul><li>understand the type of work a civil engineer does and how it differs from the work done by a chemical, electrical and mechanical engineer</li><li>have seen examples of the type of projects and work done on them by civil engineers</li><li>understand the type of work a civil engineer does on a day to day basis and why this type of work is rewarding and fulfilling to a civil engineer</li></ul>",,civil-engineer-overview.jpeg,civil-engineer-overview.jpeg,How is civil engineering applied in the development of major transportation projects
Civil Engineering: Site Evaluation,,,35,"15, 21,46",<p>How do engineers evaluate project sites and develop them for successful projects?</p>,"<p>By the end of this lesson, students will:&nbsp;</p><ul><li>understand how civil engineers evaluate the suitability of different sites for construction</li><li>be aware of how differing types of sites can impact the cost of development and construction</li><li>have seen a variety real world construction site both pre and post development</li></ul>",,civil-engineer-site-eval.jpeg,civil-engineer-site-eval.jpeg,How do engineers evaluate project sites and develop them for successful projects?
Client Projects for solar customer 1: Lab work,15,"3,4,5",49,"20,22","<p>Teams of five students will assemble functional, small-scale solar energy systems in a laboratory setting.</p>",,,solar-lab-work.jpg,solar-lab-work.jpg,"Teams of five students will assemble functional, small-scale solar energy systems in a laboratory setting."
Client Projects for solar customer 2: Field work - Flat Roof,,,49,,<p>How do solar panel engineers conduct&nbsp;site assessments and preliminary feasibility for flat roof solar energy sites?</p>,"<p>By the end of this lesson, students will have:</p><ul><li>participated in and understand the methodology and process for assessing the feasibility and energy generation capacity for&nbsp;installing a solar panel on a flat roof</li><li>exercised math skills in the completion of this feasibility study. If trigonometry is used, that would be an added bonus for a learning outcome.</li></ul><p><br></p><p>It would be preferable if the solar panel engineer who is guest instructing could provide, in advance of her/his visit,&nbsp;materials or case studies to enable students to complete calculations related to the feasibility study</p>",,solar-flat.jpg,solar-flat.jpg,Student teams will conduct site assessments and preliminary feasibility for flat roof energy sites.
Client Projects for solar customer 3: Field work - Sloped Roof,"2,15","3,4,5",49,"21,39",<p>How do solar panel engineers conduct site assessments and preliminary feasibility for sloped roof solar energy sites?</p>,"<p>By the end of this lesson, students will have:</p><ul><li>participated in and understand the methodology and process for assessing the feasibility and energy generation capacity for&nbsp;installing a solar panel on a flat roof</li><li>exercised math skills in the completion of this feasibility study. If trigonometry is used, that would be an added bonus for a learning outcome.</li></ul><p>&nbsp;</p><p>It would be preferable if the solar panel engineer who is guest instructing could provide, in advance of her/his visit,&nbsp;materials or case studies to enable students to complete calculations related to the feasibility study</p>",,solar-sloped.jpeg,solar-sloped.jpeg,Student teams will conduct site assessments and preliminary feasibility for sloped roof solar energy sites.
Client Projects for solar customer 4: Field work - Ground mounted systems,15,"3,4,5",49,"21,39",<p>How do solar engineers conduct site assessments and preliminary feasibility for ground mounted solar energy sites.</p>,"<p>By the end of this lesson, students will have:</p><ul><li>participated in and understand the methodology and process for assessing the feasibility and energy generation capacity for&nbsp;installing a ground mounted solar system</li><li>exercised math skills in the completion of this feasibility study. If trigonometry is used, that wold be an added bonus for a learning outcome.</li></ul><p><br></p><p>It would be preferable if the solar panel engineer who is guest instructing could provide, in advance of her/his visit,&nbsp;materials or case studies to enable students to complete calculations related to the feasibility study</p>",,solar-ground.jpeg,solar-ground.jpeg,Student teams will conduct site assessments and preliminary feasibility for ground mounted solar energy sites.
Climate change: evidence and consequences,,,20,,"<p>What is climate change, what are its causes and the consequences of it and what actions can be taken to address it?</p>","<p>By the end of the lesson, students will:</p><p><br></p><ul><li>understand how levels of CO2&nbsp;correlate to temperature changes</li><li>be aware of causes of climate change, both natural and man made</span></li><li>understand the consequences of rising temperatures on our weather, economy and society</li><li>know what the Paris agreement is&nbsp;and the commitments made by nations who are party to it</li></ul>",,climate-change.jpeg,climate-change.jpeg,"What is climate change, what are its causes and the consequences of it and what actions can be taken to address it?"
Close Reading,"3,4,14","4,5",22,"9,13,18,30,38,40","<p>How can a reader use the practice of close reading to more fully understand a text?Why is close reading an important skill, and how can it be applied?</p>","<p><strong>Learning Objectives:</strong> Students will be able to:</p><ul><li>Understand when and why to use close reading</li><li>Analyze an authorÕs point of view</li><li>Read for depth, rather than just skimming a text</li><li>Identify the details (word choice and meanings, facts, statistics, sentence structure, figurative language, allusions, etc.) of a text, and consider the connection between details and meaning.</li><li>Use the details of a text to draw conclusions about the main ideas and takeaways of a text</li><li>Support their main idea findings with details found from the close reading</li></ul><p><br></p><p>&nbsp;<strong>Resources:</strong></p><ul><li>On importance &amp; application: Using a close reading practice in medicine Ð transferring this skill of noticing details and the whole to being a better doctor with a patient: <a href=""https://www.narrativemedicine.org/wp-content/uploads/2017/09/Chapter7_Principles_and_Practice_of_Narrative_Medicine.pdf"" target=""_blank"">https://www.narrativemedicine.org/wp-content/uploads/2017/09/Chapter7_Principles_and_Practice_of_Narrative_Medicine.pdf</a> &amp; <a href=""https://www.nytimes.com/2010/01/03/education/edlife/03narrative.html"" target=""_blank"">https://www.nytimes.com/2010/01/03/education/edlife/03narrative.html</a></li></ul><p><br></p><p><strong>Tips:</strong></p><ul><li>Talk to the teacher about the type of text that would be best to practice on Ð a complex nonfiction piece? A research article? Different articles will have different focus points (e.g., in a research article, discuss the parts: abstract, introduction, discussion, conclusion, etc, and how to navigate each while reading closely).</li></ul>",,close-reading.jpg,close-reading.jpg,How is close reading applied in the professional world and why is it an essential skill in many professions?
College enrollment,,"4,5",56,10,<p>What is the process for applying to college and how do I navigate that process?</p>,"<p>By the end of this lesson, students will:</p><ul><li>understand the process of applying to college</li><li>learn about differences in the process for students with disabilities</li><li>be aware of the emotional challenges of applying to college and the mechanisms to deal with such stress and anxiety</li></ul>",,college-enrollment.jpg,college-enrollment.jpg,What is the process for applying to college and how do I navigate that process?
College or not: Post Secondary Career Opportunities,,"4,5",56,10,"<p>If a four year college pathway is not for me, what other career options are open to me?</p>","<p>By the end of this lesson, students will:</p><ul><li>understand available options for a 2 year Associate degree or other vocational qualifications while working</li><li>recognize the pros and cons of entering the workforce straight away rather than go to college</li><li>hear from either former students or employers about the rewards and value of entering the workforce straight from school and how to build a long term career in a professional field without a four year college degree</li></ul>",,college-or-not.jpg,college-or-not.jpg,"If a four year college pathway is not for me, what other career options are open to me?"
Color Theory,"2,3","1,2,3,4,5",6,,<p>What are the main principles to be applied in using different color combinations effectively?</p>,"<p>By the end of this lesson students will:</p><ul><li>understand main color theories to apply with art and design</li><li>be able to define and give examples of primary, secondary, and tertiary/intermediate colors.</li><li>be introduced to color combinations such as analogous, complementary, monochromatic</li><li>be aware of Value scale, tones/tints/shades and other supporting color interactions that effect the intended message with color.</li></ul><p><br></p><p>Potential incremental topics&nbsp;for color theory if time permits: monochromatic landscape, expressive self-portrait using warm or cool colored palettes, complementary color still life, or create three paintings using a triadic palette (student choice of landscape, figure painting or still life).</p>","<p><strong>&nbsp;Visual Arts/Creating: #VA:Cr1.1</strong></p><ul><li>Anchor Standard: Generate and conceptualize artistic ideas and work.</li><li>Enduring Understanding: Creativity and innovative thinking are essential life skills that can be developed.</li><li>Essential Questions: What conditions, attitudes, and behaviors support creativity and innovative thinking? What factors prevent or encourage people to take creative risks? How does collaboration expand the creative process?</li></ul><p><br></p><p><strong>Grade Hs advanced: VA:Cr1.1.HSIII: </strong></p><p>Visualize and hypothesize to generate plans for ideas and directions for creating art and design that can affect social change.</p><p><br></p><p><strong>Visual Arts/Creating: #VA:Cr1.2</strong></p><ul><li>Anchor Standard: Generate and conceptualize artistic ideas and work.</li><li>Enduring Understanding: Artists and designers shape artistic investigations, following or breaking with traditions in pursuit of creative art making goals.</li><li>Essential Questions: How does knowing the contexts histories, &amp; traditions of art forms help us create works of art &amp; design? Why do artists follow or break from established traditions? How do artists determine what resources are needed to formulate artistic investigations.</li></ul><p><br></p><p><strong>Grade Hs advanced: VA:Cr1.2.HSIII: </strong></p><p><span class=""ql-cursor"">_</span>Choose from a range of materials and methods of traditional and contemporary artistic practices, following or breaking established conventions, to plan the making of multiple works of art and design based on a theme, idea, or concept.</p>",color-theory.jpg,color-theory.jpg,"Practical guide to the color wheel, color harmony and and the creating visual effects using specific color combinations."
Confidentiality and Ethics in Healthcare,"8, 10","4,5",30,29,"<p>What is HIPAA, why is confidentiality so critically important in healthcare and what is the nature and importance of the patient / practitioner relationship in healthcare?</p>","<p>By the end of this lesson, students will:</p><ul><li>recognize the importance of patient confidentiality in healthcare</li><li>know what HIPAA is and how it impacts the healthcare industry</li><li>have explored scenarios which allow the student to explore what is the correct and incorrect course of action in certain patient/practitioner situations. Specific situations where breaches of confidentiality might occur should be discussed as well as the appropriate way to communicate with various external parties in a health care situation.</li><li>recognize why patient/practitioner confidentiality is so important in the healthcare industry and understand the ramifications for breaches in that confidentiality&nbsp;</li><li>be cognizant of the dangers of social media and its inappropriate&nbsp;use by healthcare practitioners&nbsp;</li></ul>",,confidentiality-healthcare.jpg,confidentiality-healthcare.jpg,"For every health care practitioner, patient confidentiality is critical to managing patient / practitioner relationships successfully and operating effectively in their work."
Contractor Sales Call (2-3 days),2,"4,5",2,,<p>Objective: For students to start being able to use soft skills to work with a customer on developing a plan for a construction project.</p>,"<p><strong>Project Directions: </strong>During this assignment student will develop a checklist for a sales call to a customer.&nbsp;The customer is considering adding a sunroom onto their house.</p><p>&nbsp;</p><p><strong>During this lesson students will useÉ </strong></p><p><br></p><ul><li>Industry professional will teach lesson on professionalism when interacting with customer at their home. Tips industry professional will cover.</li><li class=""ql-indent-1"">Eye contact</li><li class=""ql-indent-1"">Professional dress</li><li class=""ql-indent-1"">Asking good questions</li><li class=""ql-indent-1"">Educating customers about solutions</li><li class=""ql-indent-1"">EtcÉ</li><li>Gather information to make a checklist of questions to be sure to talk with customers about.</li><li>Write a bid proposal for the designs the customer and contractor (student) come to a decision about.</li></ul><p><br></p><p>Industry professionals will judge/grade bid proposals.</p><p><br></p><p><strong>Materials supplied:</strong></p><p><br></p><ul><li>Sample bid forms</li><li>Sample contractor checklists</li><li>Time with industry professional</li><li>Ipad (students supplied)</li></ul>",,contractor-sales-call.jpg,contractor-sales-call.jpg,Objective: For students to start being able to use soft skills to work with a customer on developing a plan for a construction project. 
Correlation,"2,4,6,11","4,5",54,"9,47",<p>How is the concept of correlation applied and used in specific professional fields and how do professionals approach the challenge of determine whether correlation does indicate causation or not?</p>,"<p>By the end of this lesson, students will:</p><ul><li>understand how correlation is used in making decisions in the professional world</li><li>have seen specific examples of how&nbsp;have calculated the correlation, r2 and other statistical measures to interpret a data set and determine the strength of the correlation</li><li>have seen examples of where correlation ­ causation and where correlation = causation</li></ul><p><br></p><p>Bonus would be if students could be given a case study or a data set in advance of the class from the guest instructor to work on and present and compare their conclusions with those made by the guest instructor when they analyzed the data.</p>","<p><strong>Common Core Standards</strong></p><p><a href=""http://www.corestandards.org/Math/Content/HSS/ID/C/8/"" target=""_blank"">CCSS.MATH.CONTENT.HSS.ID.C.8</a> </p><p>Compute (using technology) and interpret the correlation coefficient of a linear fit.</p><p><br></p><p><a href=""http://www.corestandards.org/Math/Content/HSS/ID/C/9/"" target=""_blank"">CCSS.MATH.CONTENT.HSS.ID.C.9</a></p><p>Distinguish between correlation and causation.</p><p><br></p><p><a href=""http://www.corestandards.org/Math/Content/HSS/ID/B/5/"" target=""_blank"">CCSS.MATH.CONTENT.HSS.ID.B.5</a></p><p>Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.</p><p><br></p><p><a href=""http://www.corestandards.org/Math/Content/HSS/ID/B/6/"" target=""_blank"">CCSS.MATH.CONTENT.HSS.ID.B.6</a></p><p>Represent data on two quantitative variables on a scatter plot, and describe how the variables are related.</p><p><br></p><p><strong>MN Math Standards</strong></p><p>9, 10, 11 Data Analysis &amp; Probability Display and analyze data; use various measures associated with data to draw conclusions, identify trends and describe relationships. 9.4.1.3 Use scatterplots to analyze patterns and describe relationships between two variables. Using technology, determine regression lines (line of best fit) and correlation coefficients; use regression lines to make predictions and correlation coefficients to assess the reliability of those predictions.</p>",correlation.jpeg,correlation.jpeg,Application of correlation in the professional world
Data Analytics,4,"4,5",54,9,<p>How are statistics used in data analytics across a variety of different industries and professional fields?</p>,"<p>By the end of this lesson, students will:</p><ul><li>have an overview of how data analytics are applied in the professional world</li><li>recognize the differing sub-fields within data analytics</li><li>have examined a specific case or cases that show the them the type of data problems they might be required to solve as a data analyst</li><li>have learnt about the impact data analytics is having on all professions today and how it is used to improve not only business performance but all aspects of our daily lives.</li></ul>","<h4><strong>Common Core Standards</strong></h4><h4>Summarize, represent, and interpret data on two categorical and quantitative variables</h4><p>&nbsp;</p><p><a href=""http://www.corestandards.org/Math/Content/HSS/ID/B/5/"" target=""_blank"">CCSS.MATH.CONTENT.HSS.ID.B.5</a></p><p>Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.</p><p>&nbsp;</p><p><strong>MN state Standards</strong></p><p>9, 10, 11 Data Analysis &amp; Probability Explain the uses of data and statistical thinking to draw inferences,&nbsp;make predictions and justify conclusions. 9.4.2.2 Identify and explain misleading uses of data; recognize when arguments based on data confuse correlation and causation. 9, 10, 11 Data Analysis &amp; Probability Explain the uses of data and statistical thinking to draw inferences,&nbsp;make predictions and justify conclusions. 9.4.2.3 Design simple experiments and explain the impact of sampling methods, bias and the phrasing of questions asked during data collection.</p>",data-analytics.jpeg,data-analytics.jpeg,Introduction to data analytics in the professional world
Data Analytics: College and Career,,,2,,<p>This is a half day event for High School juniors and seniors with an interest in pursuing a college degree and a career in the rapidly growing field of data analytics. They will learn about what it is like to study data analytics in college and what internships and full time positions have been secured by students studying in this field</p>,"<p>By the end of this site visit, students will have:</p><ul><li>completed a college level data analytics case study</li><li>experienced what it is like to participate in a college class with university professors and students</li><li>learned about careers within the field of data analytics</li><li>discovered what it is like to study data analytics at a college level</li></ul><p><br></p><p><strong>Site Visit Resources</strong></p><p><a href=""https://youtu.be/I5AhYrg17cM"" target=""_blank"">Site Visit Examples</a></p>",,data-college-career.jpeg,data-college-career.jpeg,
Design a digital brochure,"3,14","3,4,5",6,"21,22,23",<p>How can students design a digital brochure? Lesson Designed by Aimee Olson</p>,"<p>Students will be able to:</p><ul><li>use graphic design tools to create an aesthetically pleasing, easy to read, user friendly digital brochure that can be utilized online.</li><li>utilize photography and technical writing skills.</li><li>use info-graphics (brief &amp; concise).</li><li>recognize the unique dietary needs of their audience.</li></ul><p><br></p><p>Additional resources:</p><p>Use Adobe Spark for creation of brochure.</p><p>An enrichment activity could be to look at nutrition trends (gluten free- vegan or vegetarian) or life style options.</p>",,design-brochure.jpeg,design-brochure.jpeg,How can students design a digital brochure?
Digital Marketing and Optimization,14,"4,5",38,23,<p>How can start-ups and small businesses optimize their digital presence to build a successful online marketing campaign?</p>,"<p>By the end of this lesson:</p><ul><li>students will understand the basics of building a successful online marketing campaign for all digital channels: search, video, social, email, and display.</li><li>understand best practices for developing and distributing video marketing content</li><li>identify what makes an email marketing campaign successful</li></ul>",,digital-marketing.jpeg,digital-marketing.jpeg,How can start-ups and small businesses optimize their digital presence to build a successful online marketing campaign?
Disability Services in College,,"4,5",56,,<p>What are the services and opportunities available to students with disabilities in college and how are these services different from the services I received in high school?</p>,"<p>By the end of this lesson, students will:</p><ul><li>understand the available services to students with disabilities in college</li><li>recognize the differences between the services available in college versus high school</li><li>hear from a either students or college counselors about what the college academic experience is like for students with disabilities</li></ul>",,disability-services.jpg,disability-services.jpg,What are the services and opportunities available to students with disabilities in college and how are these services different from the services I received in high school?
